Study,Publication years,Reference NO.,Experiment name,Treatment,Nitrogen,Tdelta,Note (temperature type),Lat,Long,biome type,MAP,MAT,Soil type,Additional soil info,N-class,SCN,Extracted,Source ,Ecosystems,Warming method,Vegetation type,Total-Biomass.control,Csd,Total-Biomass.warmed,Tsd,n,RR,Variance (v),,Aoveground -Biomass.control,Csd,Aboveground-Biomass.warmed,Tsd,n,RR,Variance (v),,Belowground-Biomass.control,Csd,Belowground-Biomass.warmed,Tsd,n,RR,Variance (v),Note,Duration,,Source,Data source ,Species-1,Species-2,Species-3,Mycorrhizal Type
Jarvi,2013,1,"Ford Forestry Center,  Michigan Technological University",,n,4.9,soil temperature,46.64,-88.48,Temperate,879,4.4,,,H,5.3,,,Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,344,30,370,126,4,0.072861348,0.030893331,Fine root biomass,1.6,,"Jarvi et al., Tree Physiology, 949-959",Table 2,sugar maple,Ulmus americana L.,Tsuga canadensis (L.) Carrière,ECM
Jarvi,2013,1,"Ford Forestry Center,  Michigan Technological University",+h2o,n,4.9,soil temperature,46.64,-88.48,Temperate,879,4.4,,,H,5.3,,,Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,391,58,389,178,4,-0.005128216,0.057846686,Fine root biomass,1.6,,"Jarvi et al., Tree Physiology, 949-959",Table 2,sugar maple,Ulmus americana L.,Tsuga canadensis (L.) Carrière,ECM
Saleska,2002,2,,,n,0.825,soil temperature,38.9572,-106.989,Temperate,519,0.5,subalpine cryoboroll soil,"well-drained, deep and rocky, noncalcareous glacial",H,12.11 ,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,255,96.15092303,224,134.1640786,5,-0.129617493,0.100182666,,105,6.708203932,104,22.36067977,5,-0.009569451,0.010061889,,150,89.4427191,120,111.8033989,5,-0.223143551,0.288125,Deschampsia +Fine root biomass,5,,"Saleska et al.,2002,Global Biogeochemical Cycles,doi:10.1029/2001GB001573", Table 2,Artemisia tridentata ssp. vaseyana,Festuca thurberi Vasey (Poaceae),,AM
Zhang,2015,3,Songnen Grassland Ecological Research Station,,n,1.75,soil temperature,44.75,123.75,Temperate,400,5.2,sodic saline meadow soil,3%-4% organic matter of surface,H,8.54 ,,Zhang Nanyi's Phd diseteration.2013,Grassland,infrared heater,Herb,305.8534,13.4227,247.8929,19.768,6,-0.210109104,0.001380852,,282.3129252,15.30612245,221.0884354,17.00680272,6,-0.244453338,0.002952209,,21.7544,0.7017,23.1579,2.807,6,0.062519939,0.002622101,data taken from 2009,3.3,,"Zhang et al., 2015, Plos One, DOI:10.1371/journal.pone.0123160.", Figure 5,Stipa baicalensis,Leymus chinensis,Artemisia frigida,AM
Zhang,2015,3,Songnen Grassland Ecological Research Station,+N,y,0.58,soil temperature,44.75,123.75,Temperate,400,5.2,sodic saline meadow soil,3%-4% organic matter of surface,H,7.31 ,,Zhang Nanyi's Phd diseteration.2013,Grassland,infrared heater,Herb,335.8568,8.8161,351.3995,51.5701,6,0.045238874,0.00370441,,309.541,6.36,324.382,48.763,6,0.043249984,0.00876471,,26.3158,2.4561,27.0175,2.8071,6,0.026315285,0.003250981,data taken from 2009,3.3,,"Zhang et al., 2015, Plos One, DOI:10.1371/journal.pone.0123160. Figure 6", Figure 5,Stipa baicalensis,Leymus chinensis,Artemisia frigida,AM
Bjork-1,2007,4,Latnjajaure,,n,2.5,soil temperature,68.35,18.82,Tundra,390,-0.1,shallow Pergelic Cryorthent,loamy-sand texture,L,18.5,,"Bjork et al., 2007, New Phytologist, 862-873, Table 1",Shrubland,OTC,Woody,,,,,,,,,,,,,,,,,163.2,32.6,225,45,4,0.32112396,0.019975505,dry heath,10.2,,"Bjork et al., 2007, New Phytologist, 862-873",Table 2,Stereocaulon alpinum,Ochrolechia frigida, Betula Nana,ECM
Bjork-2,2007,4,Latnjajaure,,n,2.5,soil temperature,68.35,18.82,Tundra,390,-0.1,shallow Pergelic Cryorthent,loamy-sand texture,L,18,,"Bjork et al., 2007, New Phytologist, 862-873, Table 1",Grassland,OTC,Herb,,,,,,,,,,,,,,,,,446.1,89.2,471.9,94.2,4,0.056223957,0.01995741,dry meadow,10.2,,"Bjork et al., 2007, New Phytologist, 862-873",Table 2,Stereocaulon alpinum,Ochrolechia frigida, Betula Nana,AM
Rinnan,2008,5,"Close to Abisko Scientific Research
Station",,n,3.5,soil temperature,68.35,20.82,Tundra,463.95,-2.7,,highly organic and always moist,L,24.5,,"Rinnan et al., 2008, Applied soil ecology, 271-281, Table 2",Shrubland,passive warming,Woody,,,,,,,,,,,,,,,,,17.31,3.34,19.71,2.94,3,0.129841752,0.019826684,,7,,"Rinnan et al., 2008, Applied soil ecology, 271-281",Table 1,Empetrum hermaphroditum,Andromeda polifolia,Betula nana,ECM
Rinnan,2008,5,"Close to Abisko Scientific Research
Station",+litter,n,3.5,soil temperature,68.35,20.82,Tundra,463.95,-2.7,,highly organic and always moist,L,24.5,,"Rinnan et al., 2008, Applied soil ecology, 271-281, Table 2",Shrubland,passive warming,Woody,,,,,,,,,,,,,,,,,17,3.5,18.9,3.43,3,0.105948578,0.02510769,,7,,"Rinnan et al., 2008, Applied soil ecology, 271-281",Table 1,Empetrum hermaphroditum,Andromeda polifolia,Betula nana,ECM
Day,2008,6,Palmer Station,,n,2.3,air temperature,-64.78,-64,Tundra,750,-1.7,,sandy-loam glacial drift,L,20,,"Day et al., Oecologia (1999) 119,24-35",Grassland,passive warming,Herb,5944,579.7,6992.9,717.1,3,0.162513041,0.006675787,,318.5,55.4,401.6,65.6,3,0.231834093,0.01897912,,5117.1,424.3,5786.3,565.1,3,0.122905182,0.005471072,,3,,"Day et al., 2008, Global Change Biology, 1827-1843",Table 2,C. quitensis,D. antarctica,,AM
Day,2008,6,Palmer Station,,n,2.3,air temperature,-64.78,-64,Tundra,750,-1.7,,sandy-loam glacial drift,L,20,,"Day et al., Oecologia (1999) 119,24-35",Grassland,passive warming,Herb,5247.3,647,7067.2,725.7,3,0.297750703,0.008582535,,466.6,85.4,546.4,94.1,3,0.157878949,0.021052554,,3792.5,389.1,5470.5,446.2,3,0.366344588,0.005726334,,3,,"Day et al., 2008, Global Change Biology, 1827-1843",Table 2,C. quitensis,D. antarctica,,AM
Graham,2014,7,Cass Warming Experiment,,n,3,soil temperature,-43.03,171.75,Temperate,1300,10,acidic allophane brown,,H,13.24 ,,"Graham et al., 2014, Plos One.doi:10.1371/journal.pone.0091204, Table 1",Grassland,Cable,Herb,,,,,,,,,,,,,,,,,389,51,454,27,5,0.154517854,0.004145094,,3,,"Graham et al., 2014, Plos One.doi:10.1371/journal.pone.0091204",Table 1, Festuca novae-zelandiae,Chionochloa rigida,Chionochloa flavescens,AM
Graham,2014,7,Cass Warming Experiment,+N,y,3,soil temperature,-43.03,171.75,Temperate,1300,10,acidic allophane brown,,H,12.54 ,,"Graham et al., 2014, Plos One.doi:10.1371/journal.pone.0091204, Table 1",Grassland,Cable,Herb,,,,,,,,,,,,,,,,,518,83,482,30,5,-0.072031128,0.005909617,,3,,"Graham et al., 2014, Plos One.doi:10.1371/journal.pone.0091204",Table 1, Festuca novae-zelandiae,Chionochloa rigida,Chionochloa flavescens,AM
Cowles,2016,8,BAC Experiment,,n,1.5,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 1",Grassland,infrared heater,Herb,,,,,,,,,114.15094,33.01887,196.69811,82.54717,3,0.544148509,0.086595756,,,,,,,,,1 species,5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,3,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 2",Grassland,infrared heater,Herb,,,,,,,,,114.15094,33.01887,142.45283,25.9434,3,0.22148932,0.038945526,,,,,,,,,1 species,5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,1.5,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 3",Grassland,infrared heater,Herb,,,,,,,,,253.30189,44.81132,309.90566,40.09434,3,0.20168591,0.016011614,,,,,,,,,4 species,5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,3,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 4",Grassland,infrared heater,Herb,,,,,,,,,253.30189,44.81132,411.32075,51.8868,3,0.484791305,0.015736574,,,,,,,,,4 species,5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,1.5,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 5",Grassland,infrared heater,Herb,,,,,,,,,420.75472,44.81132,500.9434,49.5283,3,0.17444307,0.007039338,,,,,,,,,16 species,5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,3,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 6",Grassland,infrared heater,Herb,,,,,,,,,420.75472,44.81132,564.62264,49.5283,3,0.294107563,0.006345801,,,,,,,,,16 species,5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,1.5,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 1",Grassland,infrared heater,Herb,414.01126,49.55327,541.1868,56.65444,3,0.267871334,0.008428304,,,,,,,,,,335.36585,48.78049,432.92683,48.78049,3,0.255346704,0.011284307,1 species,2.5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,3,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 2",Grassland,infrared heater,Herb,414.01126,49.55327,562.6969,99.05489,3,0.306847946,0.015104836,,,,,,,,,,335.36585,48.78049,439.02439,73.17073,3,0.269332944,0.016311601,1 species,2.5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,1.5,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 3",Grassland,infrared heater,Herb,730.18127,113.23142,1097.99618,205.15932,3,0.407949325,0.019653378,,,,,,,,,,493.90244,97.56097,804.87805,195.12195,3,0.488352767,0.032595983,4 species,2.5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,3,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 4",Grassland,infrared heater,Herb,730.18127,113.23142,1183.10696,127.35629,3,0.482606456,0.011878408,,,,,,,,,,493.90244,97.56097,780.4878,128.04879,3,0.457581101,0.021978315,4 species,2.5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,1.5,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 5",Grassland,infrared heater,Herb,1661.90673,134.45747,1746.70764,176.90957,3,0.049767092,0.005601232,,,,,,,,,,1268.29268,128.04878,1378.04878,182.92683,3,0.082996922,0.009271344,16 species,2.5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Cowles,2016,8,BAC Experiment,,n,3,soil temperature,45.58,-93.17,Temperate,799,6.8,,,L,13,,"Craine et al.,2002, Biogeochemistry,303-313, Table 6",Grassland,infrared heater,Herb,1661.90673,134.45747,1555.93142,127.33047,3,-0.065891225,0.004414254,,,,,,,,,,1268.29268,128.04878,1128.04878,97.56098,3,-0.117182253,0.005891048,16 species,2.5,,"Cowles et al., 2016, Global Change Biology, 741-749, Figure 3",Figure 3 ,Agropyron smithii Tydb,Elymus canadensis L,Andropogon gerardii Vitman,AM
Qili,2013,9,Duolun County,,n,1.79,soil temperature,42.03,116.28,Temperate,382.3,2.1,Calcic Kastanozems,chestnuttype,H,9.48,,"SHEN Rui-Chang et al., 2014.Pedosphere 24(4): 427–436",Grassland,infrared heater,Herb,1092.63,433.73,991.79,317.01,3,-0.096831522,0.086580989,,120.75,11.65,116.54,13.86,3,-0.035487731,0.00781753,,971.88,422.08,875.25,303.15,3,-0.10472278,0.102857931,data taken from 2010,3.5,,"Qi Li et al., 2013, Plos one, e60441",Table 1,Stipa krylovii Roshev,Artemisia frigida Willd,"Potentilla acaulis L.,",AM
Qili,2013,9,Duolun County,+N,y,1.79,soil temperature,42.03,116.28,Temperate,382.3,2.1,Calcic Kastanozems,chestnuttype,H,8.94,,"SHEN Rui-Chang et al., 2014.Pedosphere 24(4): 427–436",Grassland,infrared heater,Herb,1326.32,275.75,1120.84,306.7,3,-0.168329786,0.039366846,,126.74,5.97,142.89,11.29,3,0.11993736,0.002820562,,1199.58,269.78,977.95,295.41,3,-0.204268231,0.047274871,data taken from 2011,3.5,,"Qi Li et al., 2013, Plos one, e60442",Table 1,Stipa krylovii Roshev,Artemisia frigida Willd,"Potentilla acaulis L.,",AM
Lin,2011,10,HBAMERS,,n,1.3,air temperature,37.6,101.3,Temperate,561,-1.7,,,H,12.5,,"Yang X.2014. Disertation for Chinese Academy of Science, Table 2.1",Grassland,infrared heater,Herb,3501.188932,85.67851833,4318.500449,150.2977494,6,0.209805618,0.000301685,,294.4037947,4.903074062,344.3485916,4.901949762,6,0.156702215,0.00008,,3239.095315,145.3957997,4240.710824,161.5508885,6,0.269436835,0.000577693,"TGB caluated from 2006, BGB taken from 2009",3,,"Lin et al., 2011.Agricultural and Forest Meteorology,792-802.",Figure 2 & 3,Sedge Kobresia pygmaea,Carex montis-everestii,Stipa capillacea Keng,AM
Lin,2011,10,HBAMERS,+grazing,n,1.3,air temperature,37.6,101.3,Temperate,561,-1.7,,,H,12.5,,"Yang X.2014. Disertation for Chinese Academy of Science, Table 2.2",Grassland,infrared heater,Herb,3447.790333,156.4240623,3890.075351,82.50179936,6,0.120694985,0.000418028,,192.5399295,11.02826266,222.8701815,9.803899524,6,0.146285898,0.0008693,,3400.646204,153.4733441,2907.915994,161.5508885,6,-0.156528802,0.000853866,"TGB caluated from 2006, BGB taken from 2009",3,,"Lin et al., 2011.Agricultural and Forest Meteorology,792-802.",Figure 2 & 3,Sedge Kobresia pygmaea,Carex montis-everestii,Stipa capillacea Keng,AM
Noh,2016,11,Tomakomai experimental forest,,n,4.03,soil temperature,42.7,141.6,Temperate,1450,6.3,clastic pumice and sand,,H,13.9,,"Noh et al., 2016, Ecosystems, 504-520, Table 1",Forest,passive warming,Woody,,,,,,,,,,,,,,,,,96.9,33.42858059,99.2,33.60178567,3,0.023458495,0.077915924,Fine root biomass,6,,"Noh et al., 2016, Ecosystems, 504-520",Table 1 ,Abies sachalinensis (F. Schmidt) Mast,Quercus crispula Blume,,ECM
Xuzhenfeng,2012,12,Miyaluo ,,n,1.2,air temperature,31.58,102.58,Temperate,790,8.9,,,H,17.3,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Forest,OTC,Woody,1.302617483,0.117043703,1.507965801,0.133618098,6,0.146385902,0.002654153,,1.025829238,0.13378398,1.202549056,0.089216967,6,0.158942219,0.003752055,,0.280382358,0.03342526,0.318576731,0.01671263,6,0.127709122,0.002827309,Plantation-2 year,1,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Figure 3,Betula albo-sinensis,Acer mono,Lonicera spp.,ECM
Xuzhenfeng,2012,12,Miyaluo ,,n,1.2,air temperature,31.58,102.58,Temperate,790,8.9,,,H,17.3,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Forest,OTC,Woody,11.27007797,0.989282013,12.9479263,0.890128463,6,0.138784398,0.002071894,,9.373390737,0.841678433,10.60304499,1.087934788,6,0.123266321,0.003098502,,2.010488465,0.197555937,2.253990555,0.296709488,6,0.114324515,0.004497326,Plantation-8 year,1,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Figure 3,Betula albo-sinensis,Acer mono,Lonicera spp.,ECM
Xuzhenfeng,2012,12,Miyaluo ,,n,1.2,air temperature,31.58,102.58,Temperate,790,8.9,,,H,15.16,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Forest,OTC,Woody,1.431225222,0.120231973,1.714963034,0.114740705,6,0.18086065,0.001922238,,1.117874746,0.103811743,1.368410479,0.120245366,6,0.202220498,0.00272425,,0.31509161,0.038251366,0.336547734,0.032800279,6,0.06587657,0.004039337,Natural forest-2year,1,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Figure 3,Betula albo-sinensis,Acer mono,Lonicera spp.,ECM
Xuzhenfeng,2012,12,Miyaluo ,,n,1.2,air temperature,31.58,102.58,Temperate,790,8.9,,,H,15.16,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Forest,OTC,Woody,12.21495429,0.924681154,13.97009962,0.827262029,6,0.134258341,0.001539535,,10.0092917,0.535374131,11.46885434,0.632916416,6,0.136121212,0.000984399,,2.205662598,0.389307023,2.501245279,0.194345613,6,0.125760758,0.006198447,Natural forest-8year,1,,"Xu et al., 2012, Environmental and Experimental Botany 1-11",Figure 3,Betula albo-sinensis,Acer mono,Lonicera spp.,ECM
Wang,2014,13, Haibei Station,,n,1,soil temperature,31.44,101.17,Temperate,450,-3,,,H,8.08,,"Wang et al., 2014, Soil Biogeocheistry and Biology, 140-142, Table 1",Grassland,OTC,Herb,211.21,9.6,220.25,7.29,6,0.041910366,0.000526908,,,,,,,,,,,,,,,,,,10,,"Wang et al., 2014, Soil Biogeocheistry and Biology, 140-142",Table S1,,,,AM
Penuelas,,14,,,n,1.3,air temperature,52.4,5.9,Temperate,1042,8.3,Haplic arenosol,,L,23.5,,"Rousk et al., 2013, Global Change Biology, 3872-3884, Table 2",Shrubland,passive warming,Woody,134.8834667,91.30251798,237.2093333,51.02159799,3,0.564531819,0.168152249,,,,,,,,,,,,,,,,,,1.5,"Peñuelas et al., 2007, Glob. Chang. Biol. 13, 2563–2581",,,Molinia caerulea,Deschampsia flexuosa,Calluna vulgaris,ECM
Cheng,2013,15,Hydraulic Technique ,,y,1.5,air temperature,32.2,121.12,Temperate,1044.7,17.7,,,H,9.49,,"Cheng et al., 2013. Ecological Research, 959-967, Table 1",Cropland,infrared heater,Herb,1687.869,105.3294737,1643.683,75.01512048,3,-0.026527331,0.001992368,,1504.35,90.36109063,1452.17,45.18920557,3,-0.035301922,0.001525448,,183.519,14.96838308,191.513,29.82591491,3,0.042637487,0.010302324,,3,,"Cheng et al., 2013. Ecological Research, 959-967, Figure 3 &5",Figure 5,,Rice,,AM
Cheng,2013,15,Hydraulic Technique ,,y,1.5,air temperature,32.2,121.12,Temperate,1044.7,17.7,,,H,9.49,,"Cheng et al., 2013. Ecological Research, 959-967, Table 1",Cropland,infrared heater,Herb,1101.9883,150.4817866,1196.614,60.11948353,3,0.082379808,0.007057135,,1043.48,135.5502962,1095.65,45.18920557,3,0.048786513,0.006191884,,58.5083,14.9314904,100.964,14.93027796,3,0.545595393,0.028998741,,3,,"Cheng et al., 2013. Ecological Research, 959-967, Figure 3 &5",Figure 5,,Wheaat,,AM
Peng,2015,16,QTP,,n,2.32,soil temperature,34.82,92.92,Temperate,291,-3.8,Mattic Cryic Cambisols,alpine meadow soi,H,12,,"Xue et al., 2015, Ecology and Evolution, 4063-4078, Figure 5",Grassland,infrared heater,Herb,,,,,,,,,,,,,,,,,3.30811,0.224698951,3.78378,0.26216321,3,0.134346481,0.003138061,,1.9,,"Peng et al., 2015, European Journal of Soil Science, 145-154, Figure 8",Figure 8,Kobresia capillifolia Decne,Kobresia pygmaea C. B. Clarke,Carex moorcroftii Falc. ex Boott,AM
Yin,2013,17,Maoxian Ecological Station,,n,1.8,air temperature,31.7,103.9,Temperate,920,8.9,mountain brown soil series (Chinese taxonomy),,H,17.5,,"Yin et al., 2012, Soil Biogeochemistry and Biology, 77-84, Table 1",Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,46.6,13.47154477,53.5846,12.82999315,3,0.139661172,0.046967073,Taken from A. faxoniana,3,,"Yin et al., 2013, Agricultural and Forest Meteorology, 180 , 287-296",Figure 2,P. asperata,A. faxoniana,,ECM
Yin,2013,17,Maoxian Ecological Station,,n,1.8,air temperature,31.7,103.9,Temperate,920,8.9,mountain brown soil series (Chinese taxonomy),,H,17.5,,"Yin et al., 2012, Soil Biogeochemistry and Biology, 77-84, Table 1",Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,53.4513,14.11309639,69.6952,16.03740484,3,0.26536049,0.040888289,Taken from P. asperata,3,,"Yin et al., 2013, Agricultural and Forest Meteorology, 180 , 287-296",Figure 2,P. asperata,A. faxoniana,,ECM
Pendall,2011,18,TasFACE,,n,0.16,soil temperature,-42.7,147.27,Temperate,560,11.6,clayey black Vertisol,carbonate-free with neutral pH and low N content.,L,14.5,,"Pendall et al., 2012, Global Change Biology,505–514,Figure 3",Grassland,infrared heater,Herb,931.723,209.928022,808.891,517.8502825,3,-0.141371386,0.15353954,,221.279,13.97938207,208.348,216.9272393,3,-0.06021459,0.362680536,,710.444,195.9486399,600.543,300.9230432,3,-0.168055881,0.109052698,,3,,"Pendall et al., 2012, Global Change Biology,505–514, Figure 2",Figure 2,Themeda triandra Forssk,Austrodanthonia caespitosa (Gaudich.) H. P. Linder,Austrodanthonia carphoides (Benth.) H. P. Linder,AM
