Study,Publication years,Reference NO.,Experiment name,Treatment,Nitrogen,Tdelta,Note (temperature type),Lat,Long,biome type,MAP,MAT,Soil type,Additional soil info,N-class,SCN,Extracted,Source ,Ecosystems,Warming method,Vegetation type,Total-Biomass.control,Csd,Total-Biomass.warmed,Tsd,n,RR,Variance (v),,Aoveground -Biomass.control,Csd,Aboveground-Biomass.warmed,Tsd,n,RR,Variance (v),,Belowground-Biomass.control,Csd,Belowground-Biomass.warmed,Tsd,n,RR,Variance (v),Note,Duration,,Source,Data source ,Species-1,Species-2,Species-3,Mycorrhizal Type
Yin_2008_Forest,2008,19,Lixian Station,,n,0.51,air temperature,31.58,102.5833333,Temperate,850,8,,Miyaluo,H,18,,"Yin et al., 2008, Ecological research,23: 459–469",Forest,OTC,Woody,0.46,0.04,0.71,0.08,2,0.434038481,0.010128665,,0.34,0.141421356,0.49,0.155563492,2,0.365459773,0.136900859,,0.12,0.042426407,0.22,0.056568542,2,0.606135804,0.095557851,,1,data taken from Picea asperata,"Yin et al., 2008, Ecological research,23: 459–469",Table 2,Picea asperata,Abies faxoniana,,ECM
Yin_2008_Forest,2008,19,Lixian Station,+ light,n,0.51,air temperature,31.58,102.6,Temperate,850,8,,Miyaluo,H,18,,"Yin et al., 2008, Ecological research,23: 459–469",Forest,OTC,Woody,1.5,0.09,1.97,0.1,2,0.272568435,0.003088361,,0.99,0.15,1.27,0.13,2,0.249067236,0.016717431,,0.51,0.04,0.7,0.06,2,0.316669609,0.006749209,,1,data taken from Picea asperata,"Yin et al., 2008, Ecological research,23: 459–469",Table 2,Picea asperata,Abies faxoniana,,ECM
Yin_2008_Forest,2008,19,Lixian Station,,n,0.34,air temperature,31.58,102.5833333,Temperate,850,8,,Miyaluo,H,18,,"Yin et al., 2008, Ecological research,23: 459–469",Forest,OTC,Woody,2.17,0.27,3.44,0.4,2,0.460744304,0.014501072,,1.52,0.13,2.55,0.13,2,0.517383024,0.004956876,,0.65,0.06,0.93,0.09,2,0.358212223,0.008942977,,1,data taken from Abies faxoniana,"Yin et al., 2008, Ecological research,23: 459–469",Table 2,Picea asperata,Abies faxoniana,,ECM
Yin_2008_Forest,2008,19,Lixian Station,+ light,n,0.34,air temperature,31.58,102.6,Temperate,850,8,,Miyaluo,H,18,,"Yin et al., 2008, Ecological research,23: 459–469",Forest,OTC,Woody,1.75,0.1,1.84,0.16,2,0.050149784,0.005413371,,1.15,0.17,1.2,0.15,2,0.042559614,0.018738776,,0.6,0.07,0.64,0.08,2,0.064538521,0.014618056,,1,data taken from Abies faxoniana,"Yin et al., 2008, Ecological research,23: 459–469",Table 2,Picea asperata,Abies faxoniana,,ECM
Wangdan,2008,20,University of Toledo,,n,2.8,air temperature,41.68,-83.66666667,Temperate,841,9.6,,,H,11.4,,"Zachary L. Rinkes 2014, Phd, Disertation for The University of Toledo",Grassland,infrared heater,Herb,,,,,,,,,129,25.8,125,25,4,-0.031498667,0.02,,,,,,,,,,0.55,,"Wang et al., Journal of Integrative Plant Biology 2008, 50 (11): 1416–1425. Figure 6",Figure 6,Andropogon gerardii,,,AM
Wangdan,2008,20,University of Toledo,+N,y,2.8,air temperature,41.68,-83.66666667,Temperate,841,9.6,,,H,11.4,,"Zachary L. Rinkes 2014, Phd, Disertation for The University of Toledo",Grassland,infrared heater,Herb,,,,,,,,,115,23,107,21.4,4,-0.072103294,0.02,,,,,,,,,,0.55,,"Wang et al., Journal of Integrative Plant Biology 2008, 50 (11): 1416–1425. Figure 7",Figure 6,A. gerardii,,,AM
Wangdan,2008,20,University of Toledo,,n,2.8,air temperature,41.68,-83.66666667,Temperate,841,9.6,,,H,11.4,,"Zachary L. Rinkes 2014, Phd, Disertation for The University of Toledo",Grassland,infrared heater,Herb,,,,,,,,,43,8.6,37,7.4,4,-0.150282203,0.02,,,,,,,,,,0.55,,"Wang et al., Journal of Integrative Plant Biology 2008, 50 (11): 1416–1425. Figure 8",Figure 6,S. canadensis,,,AM
Wangdan,2008,20,University of Toledo,+N,y,2.8,air temperature,41.68,-83.66666667,Temperate,841,9.6,,,H,11.4,,"Zachary L. Rinkes 2014, Phd, Disertation for The University of Toledo",Grassland,infrared heater,Herb,,,,,,,,,53,10.6,49,9.8,4,-0.078471615,0.02,,,,,,,,,,0.55,,"Wang et al., Journal of Integrative Plant Biology 2008, 50 (11): 1416–1425. Figure 9",Figure 6,S. canadensis,,,AM
Bloor,2010,21, French Massif Central,,n,3.5,air temperature,45.72,3.016666667,Temperate,780,8.7,Cambisol,,H,9.8,,"Bloor et al., 2010, Ecoysystems, 13, 888-900",Grassland,infrared heater,Herb,,,,,,,,,429.734,73.75670224,292.611,76.7060759,5,-0.384322331,0.019635448,,,,,,,,,Data taken from 2007 oct,2,,"Bloor et al.,Ecosystems (2010) 13: 888–900",Figure 3 (2006 & 2007 year data),"Festuca arundinacea,",,,AM
Briones,2009,22,"Rigg Foot Hill,UK",,n,3.5,soil temperature,55.5,-2.083333333,Temperate,900,8,,,L,21.11 ,,"Briones et al., 2009, SBB, 41, 315-322",Grassland,passive warming,Herb,284.28,44.8254749,387.57,37.56818202,3,0.30993681,0.011419715,,40.16,16.10807251,34.14,11.67402244,3,-0.162401758,0.092601976,,244.15,28.71740239,353.43,25.89415957,3,0.369902655,0.00640091,,2,,"Briones et al., Soil Biology & Biochemistry 41 (2009) 315–322. Table 1",Table 1,Agrostis capillaris,,,AM
Usami,2001,23,"Environmental Research Center of the University of Tsukuba, Japan",,n,3,air temperature,36.08,140.0833333,Temperate,1255,13.4,Low-humic Andosol,,L,22,,Author contact,Forest,passive warming,Woody,87.7,37.8,134.2,36.7,16,0.425409325,0.016285059,,48,21,79,22,16,0.498246842,0.01680987,,40,19,56,17,16,0.336472237,0.317780612,,1,,"Usami et al., 2001, Plant Cell and Enviroment, 1007-1019",Table 2,Q. myrsinaefolia,,,ECM
Usami,2001,23,"Environmental Research Center of the University of Tsukuba, Japan",,n,5,air temperature,36.08,140.0833333,Temperate,1255,13.4,Low-humic Andosol,,L,22,,Author contact,Forest,passive warming,Woody,87.7,37.8,128.8,30.2,16,0.384338914,0.015046932,,48,21,126,26,16,0.965080896,0.01462414,,40,19,50,16,16,0.223143551,0.328025,,1,,"Usami et al., 2001, Plant Cell and Enviroment, 1007-1019",Table 2,Q. myrsinaefolia,,,ECM
De Boeck,2007,24,Drie Eiken Campus of the University of Antwerp,,n,3,air temperature,51.15,4.4,Temperate,776,9.6,sandy,"89.2% sand, 8.7% silt, 2.1% clay",H,12.82,,"Zavalloni et al.2012, Plant Soil, 359, 121-136",Grassland,passive warming,Herb,,,,,,,,,559,55.9,379.2,37.92,6,-0.388085703,0.003333333,,,,,,,,,1 species,1,,"De Boeck et al.,New Phytologist (2007) 175: 512–522",Table 2,Dactylis glomerata L.,,,AM
De Boeck,2007,24,Drie Eiken Campus of the University of Antwerp,,n,3,air temperature,51.15,4.4,Temperate,776,9.6,sandy,"89.2% sand, 8.7% silt, 2.1% clay",H,12.82,,"Zavalloni et al.2012, Plant Soil, 359, 121-136",Grassland,passive warming,Herb,,,,,,,,,1359.3,135.93,1172.2,117.22,6,-0.148087536,0.003333333,,,,,,,,,3 species,1,,"De Boeck et al.,New Phytologist (2007) 175: 512–522",Table 2,Dactylis glomerata L.,,,AM
De Boeck,2007,24,Drie Eiken Campus of the University of Antwerp,,n,3,air temperature,51.15,4.4,Temperate,776,9.6,sandy,"89.2% sand, 8.7% silt, 2.1% clay",H,12.82,,"Zavalloni et al.2012, Plant Soil, 359, 121-136",Grassland,passive warming,Herb,,,,,,,,,2122.8,212.28,1253.1,125.31,6,-0.527115491,0.003333333,,,,,,,,,9 species,1,,"De Boeck et al.,New Phytologist (2007) 175: 512–522",Table 2,Dactylis glomerata L.,,,AM
Richardson,2002,25, 2 km South-east of the Abisko Scientific research station,,n,2,air temperature,68,19,Tundra,320,-0.6,,Abisko,L,26.53 ,,"Jonasson et al., 1999, Ecology, 1828-1843, Table 1",Shrubland,OTC,Woody,,,,,,,,,794.7368421,121.0526316,1097.368421,97.36842105,4,0.322659204,0.007768394,,,,,,,,,data taken from fig. 1a (1999),9,,"Richardon et al., 2002, Jouranl of Ecology, 544-566.",Table 2,Empetrum nigrum ssp.hermaphroditum,Vaccinium,,ECM
Richardson,2002,25, 2 km South-east of the Abisko Scientific research station,+nutrients,y,2,air temperature,68,19,Tundra,320,-0.6,,Abisko,L,26.53 ,,"Jonasson et al., 1999, Ecology, 1828-1843, Table 1",Shrubland,OTC,Woody,,,,,,,,,860.5263158,68.42105263,971.0526316,157.8947368,4,0.120836473,0.00819031,,,,,,,,,data taken from fig. 1a (1999),9,,"Richardon et al., 2002, Jouranl of Ecology, 544-566.",Table 2,Empetrum nigrum ssp.hermaphroditum,Vaccinium,,ECM
Clemmensen,2006,26,the summit area of Slottatjokka,,n,1.4,soil temperature,68.35,18.68333333,Tundra,300,-0.6,,Abisko Scientific Research Station,L,38,,"Jonasson et al., 1996, 106, 507-515 ",Shrubland,passive warming,Woody,,,,,,,,,3.593508501,2.00927357,8.616692427,1.468315301,6,0.874572278,0.05694578,,,,,,,,,,11,,Clemmensen et al. Can.J.Bot.84:831-841,Figure 1 ,Willow,,,ECM
Clemmensen,2006,26,the summit area of Slottatjokka,+nutrients,y,1.4,soil temperature,68.35,18.68333333,Tundra,300,-0.6,,Abisko Scientific Research Station,L,38,,"Jonasson et al., 1996, 106, 507-515 ",Shrubland,passive warming,Woody,,,,,,,,,1.429675425,0.927357032,18.12210201,6.916537867,6,2.539684856,0.094401967,,,,,,,,,,11,,Clemmensen et al. Can.J.Bot.84:831-841,Figure 1 ,Willow,,,ECM
Aerts,2006,27,sub-arctic Sweden near the Abisko Research Station,,n,1.6,air temperature,68.35,18.81666667,Tundra,320,-0.6,Sandy gravel,,L,26,,"Sjogersten et al., 2003, Global Change Biology,759-772, Table 3",Shrubland,OTC,Woody,,,,,,,,,230.1736138,37.42261863,255.0084155,39.26464478,5,0.10246268,0.010028325,,,,,,,,,,2,,"Aerts et al., Plant Ecology (2006) 182:65 –77",Figure 3,Sphagnum fuscum.,Betula nana,Andromeda polifolia,ECM
Aerts,2006,27,sub-arctic Sweden near the Abisko Research Station,+ snow fence,n,1.6,air temperature,68.35,18.81666667,Tundra,320,-0.6,Sandy gravel,,L,26,,"Sjogersten et al., 2003, Global Change Biology,759-772, Table 4",Shrubland,OTC,Woody,,,,,,,,,210.0262134,37.42338454,340.1866152,31.28763755,5,0.482261987,0.008041702,,,,,,,,,,2,,"Aerts et al., Plant Ecology (2006) 182:65 –77",Figure 3,Sphagnum fuscum.,Betula nana,Andromeda polifolia,ECM
Aerts,2006,27,sub-arctic Sweden near the Abisko Research Station,+ snow fence,n,1.6,air temperature,68.35,18.81666667,Tundra,320,-0.6,Sandy gravel,,L,26,,"Sjogersten et al., 2003, Global Change Biology,759-772, Table 5",Shrubland,OTC,Woody,,,,,,,,,210.0254475,36.80988643,310.9355463,22.08746369,5,0.392356942,0.007152698,,,,,,,,,,2,,"Aerts et al., Plant Ecology (2006) 182:65 –77",Figure 3,Sphagnum fuscum.,Betula nana,Andromeda polifolia,ECM
Jonasson-1,1999,28,Abisko,,n,2.8,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,27,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,908.3728278,213.2701422,1338.862559,201.4218009,5,0.387920798,0.015551162,,672.3873101,180.7951241,939.5519148,148.6368625,5,0.334568546,0.019465302,,235.9855177,32.4750181,399.3106445,52.78493845,5,0.525969234,0.007282395,data taken from subarctic heath,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-1,1999,28,Abisko,,n,2.8,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,27,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,908.3728278,213.2701422,1528.436019,189.5734597,5,0.520345384,0.014101313,,672.3873101,180.7951241,1165.22675,151.0014105,5,0.549836454,0.01781857,,235.9855177,32.4750181,363.2092686,38.57204924,5,0.431208728,0.006043145,data taken from subarctic heath,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-1,1999,28,Abisko,+ nutrients,y,2.8,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,27,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,1619.273302,106.6350711,1686.413902,130.3317536,5,0.040626854,0.002061885,,1048.226234,19.32732308,1203.783924,55.20648201,5,0.13837043,0.000488635,,571.0470673,87.30774801,482.6299783,75.12527154,5,-0.168221366,0.009520999,data taken from subarctic heath,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-1,1999,28,Abisko,+nutrients,y,2.8,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,27,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,1619.273302,106.6350711,2101.105845,157.9778831,5,0.26048633,0.001997987,,1048.226234,19.32732308,1634.249944,101.1379121,5,0.444084514,0.000833979,,571.0470673,87.30774801,466.8559015,56.83997104,5,-0.201450988,0.007639749,data taken from subarctic heath,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-2,1999,28,Abisko,,n,2.4,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,30,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,274.6287245,56.68295984,420.2630423,92.95746258,5,0.425460714,0.018304963,,251.3438618,53.63946895,380.4089108,87.52199364,5,0.414424786,0.019695584,,23.28486262,3.043490887,39.85413149,5.435468949,5,0.5374226,0.007136979,data taken from subarctic fellfield,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-2,1999,28,Abisko,,n,2.4,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,30,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,274.6287245,56.68295984,731.1662695,115.6551223,5,0.979220796,0.013524186,,251.3438618,53.63946895,699.332085,111.5236747,5,1.023303746,0.01419507,,23.28486262,3.043490887,31.83418451,4.131447608,5,0.312737221,0.006785437,data taken from subarctic fellfield,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-2,1999,28,Abisko,+ nutrients,y,2.4,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,30,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,597.7806253,81.62662962,811.4431335,170.0812739,5,0.305590469,0.012515872,,566.1240054,78.58313873,755.1717417,161.1685253,5,0.288132051,0.012963184,,31.65661988,3.043490887,56.27139177,8.912748559,5,0.575238981,0.006866,data taken from subarctic fellfield,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Jonasson-2,1999,28,Abisko,+nutrients,y,2.4,air temperature,68.35,18.81666667,Tundra,340,-0.6,,Abisko site,L,30,,"JONASSON et al.,1999.Ecology,1828-1843",Shrubland,Greenhouse,Woody,597.7806253,81.62662962,748.2165096,92.96106196,5,0.224468548,0.006816443,,566.1240054,78.58313873,695.8332853,87.52559301,5,0.206296954,0.007017979,,31.65661988,3.043490887,52.38322429,5.435468949,5,0.503639107,0.004001983,data taken from subarctic fellfield,2,,"Jonasson et al., Ecology, 80(6), 1999, pp. 1828–1843",Figure 3 & 4,Cassiope tetragona (L.) D. Don,Betula pubescens,,ECM
Shi,2010,29,Songpan,,n,1.53,air temperature,32.85,103.55,Temperate,717.7,2.8,,Yellow soil,H,12.38,,"Gao Jing et al., 2016,Chinese Journal of Plant Ecology,40: 775-787",Grassland,OTC,Herb,0.86,0.13,0.7,0.04,5,-0.205852054,0.005223099,,0.68,0.11,0.47,0.1,5,-0.369360103,0.014287435,,0.18,0.04472136,0.23,0.089442719,5,0.387492866,0.17739603,Potentilla anserina,3,,"Shi et al., 2010, Chinese Journal of Plant Ecology,34 (5): 488–497",Table 3&4,Elymus nutans,,,AM
Shi,2010,29,Songpan,,n,1.53,air temperature,32.85,103.55,Temperate,717.7,2.8,,Yellow soil,H,12.38,,"Gao Jing et al., 2016,Chinese Journal of Plant Ecology,40: 775-788",Grassland,OTC,Herb,3.08,0.22,3.93,0.34,5,0.243709829,0.002517342,,1.77,0.17,2,0.52,5,0.122167634,0.015364936,,1.31,0.290688837,1.93,1.766493702,5,0.245122458,0.042591435,Rumex acetosa,3,,"Shi et al., 2010, Chinese Journal of Plant Ecology,34 (5): 488–497",Table 3&4,Rumex acetosa,,,AM
Saleska,2002,30,warming meadow,,n,0.825,soil temperature,38.95,-106.9833333,Temperate,750,5,,,H,12.11 ,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,255,214.997936,224,299.9908799,5,-0.129617493,0.50088879,,105,15.00401613,104,49.99847998,5,-0.009569451,0.050308819,,150,199.9939199,120,249.9923999,5,-0.223143551,1.223536717,Fine root biomass,3,,"Saleska et al.,GLOBAL BIOGEOCHEMICAL CYCLES, 16,  4, 1055, doi:10.1029/2001GB001573, 2002",Table 2,Picea engelmannii,Populus tremuloides,Abies bifolia,AM
YiqiLuo,2009,31,OKlahoma,+clipping,n,1.27,air temperature,34.98,-97.51666667,Temperate,914,16.3,Nash-Lucien,"32% sand, 60% Silt, 9% Clay",H,17.5,,"Niu et al., 2010, Ecology, 3261-3273, Figure 8",Grassland,infrared heater,Herb,,,,,,,,,78.9,12.4,115.1,14.2,3,0.377620088,0.013306656,,,,,,,,,Data taken from 2005,6,,"Luo et al., GCB Bioenergy (2009) 1, 62–74",Table 2,Phalaris sward,,,AM
Hartley,2007,32,"University of York, UK",,y,3,soil temperature,53.93,-1.033333333,Temperate,601,9.4,,,H,8,,NA,Cropland,Cable,Herb,,,,,,,,,2568,444.7906474,2690,465.9216672,3,0.046413808,0.02,,,,,,,,,maize,1,,"Hartley et al., Global Change Biology (2007) 13, 2654–2667",Figure 7,maize,,,AM
Hartley,2007,32,"University of York, UK",,y,3,soil temperature,53.93,-1.033333333,Temperate,601,9.4,,,H,8,,NA,Cropland,Cable,Herb,,,,,,,,,527,91.27907756,538,93.18433345,3,0.020658012,0.02,,,,,,,,,wheat,1,,"Hartley et al., Global Change Biology (2007) 13, 2654–2667",Figure 7,wheat,,,AM
Xu,2009,33,Wanglang,,n,2.2,air temperature,32.85,104.1333333,Temperate,796,1.5,,,H,12.38,,"Gao Jing et al., 2016,Chinese Journal of Plant Ecology,40: 775-787",Grassland,OTC,Herb,,,,,,,,,28.7936,23.5644,41.8566,20.3028,4,0.37409635,0.226260489,,,,,,,,,Deyeuxia scabrescens,1.8,,"Xu etal.,2009, Acta Ecologica Sinica,29,2899-2905",Figure 2,Deyeuxia scabrescens,,,AM
Xu,2009,33,Wanglang,,n,2.2,air temperature,32.85,104.1333333,Temperate,796,1.5,,,H,12.38,,"Gao Jing et al., 2016,Chinese Journal of Plant Ecology,40: 775-787",Grassland,OTC,Herb,,,,,,,,,13.8825,7.9772,19.3339,14.5016,4,0.331230978,0.223195611,,,,,,,,,Artemisia subdigitata,1.8,,"Xu etal.,2009, Acta Ecologica Sinica,29,2899-2905",Figure 2,Deyeuxia scabrescens,,,AM
Xu,2009,33,Wanglang,,n,2.2,air temperature,32.85,104.1333333,Temperate,796,1.5,,,H,12.38,,"Gao Jing et al., 2016,Chinese Journal of Plant Ecology,40: 775-787",Grassland,OTC,Herb,,,,,,,,,4.22996,3.98932,4.06134,2.8996,4,-0.040679568,0.349796093,,,,,,,,,Festuca sinensis,1.8,,"Xu etal.,2009, Acta Ecologica Sinica,29,2899-2905",Figure 2,Deyeuxia scabrescens,,,AM
Xu,2009,33,Wanglang,,n,2.2,air temperature,32.85,104.1333333,Temperate,796,1.5,,,H,12.38,,"Gao Jing et al., 2016,Chinese Journal of Plant Ecology,40: 775-787",Grassland,OTC,Herb,,,,,,,,,6.17895,2.9003,5.46582,3.62608,4,-0.122634198,0.165108553,,,,,,,,,Others,1.8,,"Xu etal.,2009, Acta Ecologica Sinica,29,2899-2905",Figure 2,Deyeuxia scabrescens,,,AM
Charles,2009,34,"Plum Island estuary in Rowley, Massachusetts",,n,0.82,air temperature,42.72,-70.85,Temperate,1157,9.2, Inceptisols,"39% Sand, 28% Silt, 23% Clay",H,12.65,,"Neff  et al., 2002, Nature, 419, 915-917",Grassland,Greenhouse,Herb,,,,,,,,,412,197.2211956,521,208.1779287,5,0.234726692,0.077761087,,,,,,,,,Data taken from S. alterniflora,1,,"Charles et al.,Ecological Applications, 19(7), 2009, 1758–1773",Figure 5,Spartina patens–Distichlis spicataS. Patens,,,AM
Charles,2009,34,"Plum Island estuary in Rowley, Massachusetts",,n,0.82,air temperature,42.72,-70.85,Temperate,1157,9.2, Inceptisols,"39% Sand, 28% Silt, 23% Clay",H,12.65,,"Neff  et al., 2002, Nature, 419, 915-917",Grassland,Greenhouse,Herb,,,,,,,,,707,280.4029244,585,246.6382979,5,-0.189418819,0.067009795,,,,,,,,,Data taken from S. patens–Distichlis,1,,"Charles et al.,Ecological Applications, 19(7), 2009, 1758–1774",Figure 5,Spartina patens–Distichlis spicataS. Patens,,,AM
Boelman,2003,35,LTER site,,n,5.6,air temperature,68.63,-149.7166667,Tundra,347,-8.5,,,L,25,,"Weintraub et al., 2003, Ecosystems,  6, 129-143",Grassland,Greenhouse,Herb,,,,,,,,,95.09202454,9.202453988,132.6687117,6.901840491,5,0.333010029,0.00241433,,,,,,,,,,13,,"Boelman et al., Oecologia (2003) 135:414–421",Figure 1 ,,Carex,Eriophorum,AM
Boelman,2003,35,LTER site,+NP,y,5.6,air temperature,68.63,-149.7166667,Tundra,347,-8.5,,,L,22,,"Magill et al., 2004, Forest Ecology and Management, 196 ,7–28",Grassland,Greenhouse,Herb,,,,,,,,,214.7239264,20.70552147,153.3742331,19.93865031,5,-0.336472237,0.005239694,,,,,,,,,,13,,"Boelman et al., Oecologia (2003) 135:414–421",Figure 1,,Carex,Eriophorum,AM
Michelsen-1,1996,36,Don at Abisko in northern Swedish Lapland,,n,0.4,soil temperature,68.35,18.83333333,Tundra,320,-0.6,"Loamy, mixed, Typic Aquaturbel",,L,26.5,,"Jonansson et al.,1999,Ecology, 1828-1843",Shrubland,Greenhouse,Woody,,,,,,,,,672.3404255,127.6595745,778.7234043,127.6595745,5,0.14689112,0.012585282,,,,,,,,,"Data taken from Cassiope biomass, heath",5,,"Michelsen et al., Oecologia (1996) 105:1-12",Figure 2,Betula pubescens,Cassiope tetragona,Empetrum hermaphroditum,ECM
Michelsen-1,1996,36,Don at Abisko in northern Swedish Lapland,,n,1.2,soil temperature,68.35,18.83333333,Tundra,320,-0.6,"Loamy, mixed, Typic Aquaturbel",,L,26.5,,"Jonansson et al.,1999,Ecology, 1828-1843",Shrubland,Greenhouse,Woody,,,,,,,,,672.3404255,127.6595745,1217.021277,76.59574468,5,0.593396778,0.008002598,,,,,,,,,"Data taken from Cassiope biomass, heath",5,,"Michelsen et al., Oecologia (1996) 105:1-12",Figure 2,Betula pubescens,Cassiope tetragona,Empetrum hermaphroditum,ECM
